"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"26230",13673,"Vladimir Bortsov","M",23,180,81,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"26231",13673,"Vladimir Bortsov","M",23,180,81,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"26232",13673,"Vladimir Bortsov","M",27,180,81,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"26233",13673,"Vladimir Bortsov","M",27,180,81,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"27739",14390,"Islam Meyrambekovich Bozbayev","M",21,182,81,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Judo","Judo Men's Half-Middleweight",NA
"28559",14806,"Nikolay Viktorovich Braychenko","M",23,180,72,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"32035",16468,"Svetlana Buravova (-Khapsalis)","F",27,186,63,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"39004",20086,"Nikolay Sergeyevich Chebotko","M",19,178,72,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39005",20086,"Nikolay Sergeyevich Chebotko","M",19,178,72,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"39006",20086,"Nikolay Sergeyevich Chebotko","M",19,178,72,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 10/10 kilometres Pursuit",NA
"39007",20086,"Nikolay Sergeyevich Chebotko","M",19,178,72,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"39008",20086,"Nikolay Sergeyevich Chebotko","M",23,178,72,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39009",20086,"Nikolay Sergeyevich Chebotko","M",23,178,72,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's Team Sprint",NA
"39010",20086,"Nikolay Sergeyevich Chebotko","M",27,178,72,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39011",20086,"Nikolay Sergeyevich Chebotko","M",27,178,72,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"39012",20086,"Nikolay Sergeyevich Chebotko","M",27,178,72,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"39013",20086,"Nikolay Sergeyevich Chebotko","M",27,178,72,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's Team Sprint",NA
"39014",20086,"Nikolay Sergeyevich Chebotko","M",31,178,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39015",20086,"Nikolay Sergeyevich Chebotko","M",31,178,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"39016",20086,"Nikolay Sergeyevich Chebotko","M",31,178,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's Team Sprint",NA
"39644",20391,"Roman Chentsov","M",22,195,100,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Men's Water Polo",NA
"39744",20429,"Sergey Pavlovich Cherepanov","M",20,181,70,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39745",20429,"Sergey Pavlovich Cherepanov","M",24,181,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"39746",20429,"Sergey Pavlovich Cherepanov","M",24,181,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"39747",20429,"Sergey Pavlovich Cherepanov","M",24,181,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"39748",20429,"Sergey Pavlovich Cherepanov","M",24,181,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"39749",20429,"Sergey Pavlovich Cherepanov","M",28,181,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"39750",20429,"Sergey Pavlovich Cherepanov","M",28,181,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"39751",20429,"Sergey Pavlovich Cherepanov","M",28,181,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"39821",20466,"Yelena Chernetsova","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 5 kilometres",NA
"39822",20466,"Yelena Chernetsova","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"39823",20466,"Yelena Chernetsova","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"39824",20466,"Yelena Chernetsova","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit",NA
"39825",20466,"Yelena Chernetsova","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"39841",20479,"Konstantin Chernov","M",32,187,88,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Men's Water Polo",NA
"39853",20488,"Gennady Sergeyevich Chernovol","M",24,185,71,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 200 metres",NA
"39854",20488,"Gennady Sergeyevich Chernovol","M",28,185,71,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 100 metres",NA
"39868",20496,"Ilya Yevgenyevich Chernyshov","M",19,170,65,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Madison",NA
"39920",20532,"Aleksandr Ivanovich Chervyakov","M",25,180,80,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"39921",20532,"Aleksandr Ivanovich Chervyakov","M",25,180,80,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Biathlon","Biathlon Men's 12.5 kilometres Pursuit",NA
"39922",20532,"Aleksandr Ivanovich Chervyakov","M",25,180,80,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Biathlon","Biathlon Men's 20 kilometres",NA
"39923",20532,"Aleksandr Ivanovich Chervyakov","M",29,180,80,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"39924",20532,"Aleksandr Ivanovich Chervyakov","M",29,180,80,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 12.5 kilometres Pursuit",NA
"39925",20532,"Aleksandr Ivanovich Chervyakov","M",29,180,80,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 20 kilometres",NA
"39926",20532,"Aleksandr Ivanovich Chervyakov","M",29,180,80,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"40291",20726,"Nataliya Chikina","F",21,156,48,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Women's Platform",NA
"40292",20726,"Nataliya Chikina","F",25,156,48,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Women's Platform",NA
"40345",20756,"Arman Konstantinovich Chilmanov","M",24,190,84,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Taekwondo","Taekwondo Men's Heavyweight","Bronze"
"40413",20796,"Zulfiya Salakharovna Chinshanlo","F",19,155,53,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Women's Featherweight","Gold"
"41011",21131,"Arli Chontey","M",24,150,56,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Men's Bantamweight",NA
"41653",21473,"Dmitry Aleksandrovich Chvykov","M",22,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"41654",21473,"Dmitry Aleksandrovich Chvykov","M",22,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"41655",21473,"Dmitry Aleksandrovich Chvykov","M",22,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"53836",27611,"Zhansel Deniz","F",24,175,67,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Taekwondo","Taekwondo Women's Welterweight",NA
"54016",27709,"Aleksey Viktorovich Dergunov","M",23,187,95,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Kayak Doubles, 500 metres",NA
"54017",27709,"Aleksey Viktorovich Dergunov","M",27,187,95,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Kayak Doubles, 200 metres",NA
"54018",27709,"Aleksey Viktorovich Dergunov","M",27,187,95,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"54019",27709,"Aleksey Viktorovich Dergunov","M",31,187,95,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Singles, 200 metres",NA
"54020",27709,"Aleksey Viktorovich Dergunov","M",31,187,95,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"54172",27791,"Svetlana Deshevykh","F",27,158,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 5 kilometres",NA
"54173",27791,"Svetlana Deshevykh","F",27,158,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"54174",27791,"Svetlana Deshevykh","F",27,158,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"54175",27791,"Svetlana Deshevykh","F",27,158,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit",NA
"54176",27791,"Svetlana Deshevykh","F",27,158,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"54177",27791,"Svetlana Deshevykh","F",31,158,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"54178",27791,"Svetlana Deshevykh","F",31,158,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"54179",27791,"Svetlana Deshevykh","F",31,158,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 5/5 kilometres Pursuit",NA
"54180",27791,"Svetlana Deshevykh","F",31,158,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"54541",27976,"Pyotr Gennadyevich Devyatkin","M",20,174,90,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"55657",28520,"Dinara Dikambayeva","F",19,157,49,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"55674",28529,"Mukhtarkhan Koblanbekovich Dildabekov","M",24,190,97,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Super-Heavyweight","Silver"
"55675",28529,"Mukhtarkhan Koblanbekovich Dildabekov","M",28,190,97,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Super-Heavyweight",NA
"55717",28551,"Artur Dilman","M",17,179,78,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Freestyle",NA
"55718",28552,"Askhat Rakhatovich Dilmukhamedov","M",25,176,74,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"56402",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Individual All-Around",NA
"56403",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Floor Exercise",NA
"56404",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Horse Vault",NA
"56405",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Parallel Bars",NA
"56406",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"56407",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Rings",NA
"56408",28900,"Aleksey Dmitriyenko","M",19,165,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"56409",28901,"Mariya Dmitriyenko","F",28,167,56,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Shooting","Shooting Women's Trap",NA
"56952",29179,"Galina Anatolyevna Dolgushina","F",27,168,58,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Modern Pentathlon","Modern Pentathlon Women's Individual",NA
"57276",29340,"Bazarbek Orynbayuly Donbay","M",21,167,60,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Judo","Judo Men's Extra-Lightweight",NA
"57277",29340,"Bazarbek Orynbayuly Donbay","M",25,167,60,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Judo","Judo Men's Extra-Lightweight",NA
"57693",29537,"Igor Lvovich Dorokhin","M",35,180,85,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"58138",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",30,166,56,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Air Rifle, 10 metres",NA
"58139",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",30,166,56,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
"58140",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",33,166,56,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Women's Air Rifle, 10 metres",NA
"58141",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",33,166,56,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
"58142",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",37,166,56,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Women's Air Rifle, 10 metres",NA
"58143",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",37,166,56,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
"58144",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",41,166,56,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Shooting","Shooting Women's Air Rifle, 10 metres",NA
"58145",29755,"Olga Vyacheslavovna Dovgun (Belyayeva-)","F",41,166,56,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
"58146",29756,"Vitaly Semyonovich Dovgun","M",37,189,104,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Men's Air Rifle, 10 metres",NA
"58147",29756,"Vitaly Semyonovich Dovgun","M",37,189,104,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
"58148",29756,"Vitaly Semyonovich Dovgun","M",37,189,104,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
"58833",30106,"Sergey Mikhaylovich Drozdov","M",30,183,81,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Men's Water Polo",NA
"58834",30106,"Sergey Mikhaylovich Drozdov","M",34,183,81,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Men's Water Polo",NA
"59163",30296,"Yelena Dubok","F",21,170,60,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",NA
"59164",30296,"Yelena Dubok","F",25,170,60,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"59165",30296,"Yelena Dubok","F",25,170,60,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Biathlon","Biathlon Women's 15 kilometres",NA
"59313",30375,"Dmitry Viktorovich Dudaryev","M",21,185,91,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"59314",30375,"Dmitry Viktorovich Dudaryev","M",29,185,91,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"59324",30382,"Inga Dudchenko","F",20,175,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing Women's Single Sculls",NA
"59624",30545,"Margarita Dulova","F",26,166,50,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"59625",30545,"Margarita Dulova","F",26,166,50,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",NA
"60456",30959,"Sultan Duzelbayev","M",22,176,46,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Archery","Archery Men's Individual",NA
"60575",31025,"Aleksey Dyadchuk","M",25,183,87,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",NA
"60576",31025,"Aleksey Dyadchuk","M",29,183,87,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Canadian Singles, 200 metres",NA
"60577",31025,"Aleksey Dyadchuk","M",29,183,87,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"60619",31041,"Ivan Fyodorovich Dychko","M",21,205,91,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Super-Heavyweight","Bronze"
"60620",31041,"Ivan Fyodorovich Dychko","M",25,205,91,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Super-Heavyweight","Bronze"
"60715",31092,"Nurym Dyusenov","M",26,160,56,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Flyweight, Greco-Roman",NA
"60739",31104,"Galib Musayevich Dzhafarov","M",26,165,57,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Featherweight",NA
"60740",31104,"Galib Musayevich Dzhafarov","M",30,165,57,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Featherweight",NA
"60742",31106,"Asel Shinpolatovna Dzhakayeva","F",20,168,70,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"60743",31106,"Asel Shinpolatovna Dzhakayeva","F",24,168,70,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"60764",31119,"Lada Vladimirovna Dzhiyenbalanova","F",34,166,54,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Modern Pentathlon","Modern Pentathlon Women's Individual",NA
